suburb,density,price,rooms,constituency,local_authority
 Borrowdale Brooke,Low,3000,8,Harare East,Harare Municipality
 Borrowdale,Low,1800,7,Harare East,Harare Municipality
 Borrowdale,Low,2500,7,Harare East,Harare Municipality
 Borrowdale Brooke,Low,3000,7,Harare East,Harare Municipality
 Borrowdale,Low,1700,6,Harare East,Harare Municipality
 Borrowdale West,Low,2000,5,Harare East,Harare Municipality
 Borrowdale,Low,3500,7,Harare East,Harare Municipality
 Borrowdale West,Low,1200,7,Harare East,Harare Municipality
 Borrowdale Brooke,Low,8000,9,Harare East,Harare Municipality
 Borrowdale,Low,2000,8,Harare East,Harare Municipality
 Borrowdale,Low,1800,7,Harare East,Harare Municipality
 Borrowdale,Low,600,4,Harare East,Harare Municipality
 Borrowdale,Low,3500,7,Harare East,Harare Municipality
 Borrowdale,Low,3000,7,Harare East,Harare Municipality
 Borrowdale West,Low,2500,5,Harare East,Harare Municipality
 Borrowdale Brooke,Low,3000,7,Harare East,Harare Municipality
 Borrowdale,Low,3500,8,Harare East,Harare Municipality
 Borrowdale,Low,3500,10,Harare East,Harare Municipality
 Borrowdale,Low,1100,4,Harare East,Harare Municipality
 Borrowdale West,Low,3500,8,Harare East,Harare Municipality
 Borrowdale,Low,2700,6,Harare East,Harare Municipality
 Borrowdale,Low,1300,6,Harare East,Harare Municipality
 Borrowdale Brooke,Low,2300,7,Harare East,Harare Municipality
 Borrowdale Brooke,Low,4000,8,Harare East,Harare Municipality
 Borrowdale Brooke,Low,3000,8,Harare East,Harare Municipality
Glaudina,Medium,1000,8,Dzivarasekwa,Harare Municipality
Adelaide Park,Medium,250,4,Epworth South,Epworth Local Board
Westgate,Low,900,7,Harare West,Harare Municipality
Westgate,Low,1300,7,Harare West,Harare Municipality
Westgate,Low,1200,7,Harare West,Harare Municipality
Westgate,Low,1250,7,Harare West,Harare Municipality
Westgate,Low,400,4,Harare West,Harare Municipality
Arlington,Low,2500,7,Hunyani,Harare Municipality
Ashbrittle,Low,1500,8,Harare West,Harare Municipality
Ashbrittle,Low,600,6,Harare West,Harare Municipality
Aspindale Park,Medium,550,6,Harare Central,Harare Municipality
Avenues,Medium,1000,5,Harare Central,Harare Municipality
Avenues,Medium,1200,4,Harare Central,Harare Municipality
Avenues,Medium,2200,7,Harare Central,Harare Municipality
Avondale,Medium,3000,12,Mount Pleasant,Harare Municipality
Avondale,Medium,3500,12,Mount Pleasant,Harare Municipality
Avondale,Medium,1500,5,Mount Pleasant,Harare Municipality
Avondale,Medium,1200,4,Mount Pleasant,Harare Municipality
Avondale,Medium,2000,5,Mount Pleasant,Harare Municipality
Avondale,Medium,700,6,Mount Pleasant,Harare Municipality
Avondale,Medium,1800,6,Mount Pleasant,Harare Municipality
Avonlea,Medium,1200,5,Harare West,Harare Municipality
Belvedere,Medium,1200,7,Harare Central,Harare Municipality
Bloomingdale,Medium,1000,6,Harare West,Harare Municipality
Bluff Hill,Low,450,4,Harare West,Harare Municipality
Bluff Hill,Low,350,3,Harare West,Harare Municipality
Bluff Hill,Low,650,7,Harare West,Harare Municipality
Bluff Hill,Low,650,5,Harare West,Harare Municipality
Zengeza 4,High,40,1,Zengeza East,Chitungwiza Municipality
Zengeza 4,High,60,1,Zengeza East,Chitungwiza Municipality
Zengeza 4,High,120,2,Zengeza East,Chitungwiza Municipality
Unit F,High,200,4,Chitungwiza North,Chitungwiza Municipality
Bluff Hill,Low,900,6,Harare West,Harare Municipality
Budiriro 4,High,500,6,Budiriro North,Harare Municipality
Chadcombe,Medium,450,5,Hatfield,Harare Municipality
Chadcombe,Medium,650,6,Hatfield,Harare Municipality
Chadcombe,Medium,500,5,Hatfield,Harare Municipality
Chisipite,Low,3000,7,Mount Pleasant,Harare Municipality
Chisipite,Low,2500,7,Mount Pleasant,Harare Municipality
Chisipite,Low,2500,13,Mount Pleasant,Harare Municipality
Chisipite,Low,2500,7,Mount Pleasant,Harare Municipality
Chisipite,Low,3000,9,Mount Pleasant,Harare Municipality
Chisipite,Low,2000,6,Mount Pleasant,Harare Municipality
Unit B,High,450,7,Zengeza East,Chitungwiza Municipality
Zengeza 4,High,300,6,Zengeza East,Chitungwiza Municipality
Unit B,High,260,4,Zengeza East,Chitungwiza Municipality
Marlborough,Low,900,5,Harare West,Harare Municipality
Marlborough,Low,1100,4,Harare West,Harare Municipality
Marlborough,Low,1500,7,Harare West,Harare Municipality
Marlborough,Low,1900,5,Harare West,Harare Municipality
Marlborough,Low,900,6,Harare West,Harare Municipality
Marlborough,Low,1200,7,Harare West,Harare Municipality
Mount Pleasant,Low,1200,8,Mount Pleasant,Harare Municipality
Mount Pleasant,Low,2500,9,Mount Pleasant,Harare Municipality
Mount Pleasant,Low,650,5,Mount Pleasant,Harare Municipality
Mount Pleasant,Low,950,5,Mount Pleasant,Harare Municipality
Mount Pleasant,Low,2600,7,Mount Pleasant,Harare Municipality
Mount Pleasant,Low,1100,7,Mount Pleasant,Harare Municipality
Mount Pleasant,Low,750,5,Mount Pleasant,Harare Municipality
Mount Pleasant,Low,2500,7,Mount Pleasant,Harare Municipality
Mount Pleasant,Low,1200,7,Mount Pleasant,Harare Municipality
Mount Pleasant,Low,2800,7,Mount Pleasant,Harare Municipality
Mount Pleasant,Low,3500,8,Mount Pleasant,Harare Municipality
Mount Pleasant,Low,2500,9,Mount Pleasant,Harare Municipality
Mount Pleasant,Low,1500,6,Mount Pleasant,Harare Municipality
